Player Name,Nation,Position,Age,Matches Played,Playing Time_Starts,Minutes Played,Yellow Cards,Red Cards,Goals,Assists,Goals+Assists,xG,xAG,npxG + xAG,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_xG,Per 90 Minutes_xAG,Team,League_Previous_Season
David Raya,es ESP,GK,28.0,38.0,38,3420.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,English Premier League
William Saliba,fr FRA,DF,23.0,35.0,35,3039.0,2.0,1.0,2.0,0.0,2.0,2.3,0.9,3.1,0.06,0.0,0.06,0.07,0.03,Arsenal,English Premier League
Declan Rice,eng ENG,MF,25.0,35.0,33,2825.0,7.0,1.0,4.0,7.0,11.0,3.5,6.6,10.1,0.13,0.22,0.35,0.11,0.21,Arsenal,English Premier League
Thomas Partey,gh GHA,"MF,DF",31.0,35.0,31,2797.0,4.0,0.0,4.0,2.0,6.0,2.3,2.1,4.3,0.13,0.06,0.19,0.07,0.07,Arsenal,English Premier League
Leandro Trossard,be BEL,FW,29.0,38.0,28,2546.0,4.0,1.0,8.0,7.0,15.0,7.2,6.1,13.3,0.28,0.25,0.53,0.25,0.22,Arsenal,English Premier League
Gabriel Magalhães,br BRA,DF,26.0,28.0,28,2363.0,4.0,0.0,3.0,1.0,4.0,2.6,0.9,3.5,0.11,0.04,0.15,0.1,0.03,Arsenal,English Premier League
Jurriën Timber,nl NED,DF,23.0,30.0,27,2417.0,7.0,0.0,1.0,3.0,4.0,1.2,0.8,2.1,0.04,0.11,0.15,0.05,0.03,Arsenal,English Premier League
Martin Ødegaard,no NOR,MF,25.0,30.0,26,2325.0,4.0,0.0,3.0,8.0,11.0,4.8,5.4,9.5,0.12,0.31,0.43,0.19,0.21,Arsenal,English Premier League
Gabriel Martinelli,br BRA,"FW,MF",23.0,33.0,25,2290.0,1.0,0.0,8.0,4.0,12.0,7.4,5.0,12.4,0.31,0.16,0.47,0.29,0.19,Arsenal,English Premier League
Kai Havertz,de GER,"FW,MF",25.0,23.0,21,1875.0,5.0,0.0,9.0,3.0,12.0,9.5,2.4,12.0,0.43,0.14,0.58,0.46,0.12,Arsenal,English Premier League
Bukayo Saka,eng ENG,"FW,MF",22.0,25.0,20,1729.0,3.0,0.0,6.0,10.0,16.0,6.8,7.6,13.7,0.31,0.52,0.83,0.36,0.4,Arsenal,English Premier League
Mikel Merino,es ESP,"MF,FW",28.0,28.0,17,1586.0,4.0,1.0,7.0,2.0,9.0,5.9,2.0,7.9,0.4,0.11,0.51,0.34,0.11,Arsenal,English Premier League
Myles Lewis-Skelly,eng ENG,DF,17.0,23.0,15,1369.0,3.0,2.0,1.0,0.0,1.0,0.2,0.4,0.6,0.07,0.0,0.07,0.01,0.03,Arsenal,English Premier League
Ben White,eng ENG,DF,26.0,17.0,13,1198.0,2.0,0.0,0.0,2.0,2.0,0.5,1.4,1.8,0.0,0.15,0.15,0.03,0.1,Arsenal,English Premier League
Riccardo Calafiori,it ITA,DF,22.0,19.0,11,983.0,4.0,0.0,2.0,1.0,3.0,0.9,0.3,1.1,0.18,0.09,0.27,0.08,0.03,Arsenal,English Premier League
Ethan Nwaneri,eng ENG,"FW,MF",17.0,26.0,11,895.0,1.0,0.0,4.0,2.0,6.0,1.2,1.2,2.4,0.4,0.2,0.6,0.12,0.12,Arsenal,English Premier League
Jakub Kiwior,pl POL,DF,24.0,17.0,10,1122.0,1.0,0.0,1.0,0.0,1.0,0.2,0.3,0.5,0.08,0.0,0.08,0.01,0.03,Arsenal,English Premier League
Jorginho,it ITA,MF,32.0,15.0,9,704.0,5.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.0,0.0,0.0,0.01,0.05,Arsenal,English Premier League
Raheem Sterling,eng ENG,"FW,MF",29.0,17.0,7,499.0,1.0,0.0,0.0,2.0,2.0,1.4,0.5,1.9,0.0,0.36,0.36,0.26,0.09,Arsenal,English Premier League
Gabriel Jesus,br BRA,FW,27.0,17.0,6,608.0,4.0,0.0,3.0,0.0,3.0,3.0,0.7,3.7,0.44,0.0,0.44,0.44,0.1,Arsenal,English Premier League
Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,15.0,5,527.0,1.0,0.0,0.0,1.0,1.0,0.6,0.2,0.8,0.0,0.17,0.17,0.11,0.03,Arsenal,English Premier League
Kieran Tierney,sct SCO,"DF,FW",27.0,13.0,2,259.0,0.0,0.0,1.0,0.0,1.0,0.4,1.4,1.7,0.35,0.0,0.35,0.12,0.48,Arsenal,English Premier League
Nathan Butler-Oyedeji,eng ENG,FW,21.0,1.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.94,0.0,Arsenal,English Premier League
Takehiro Tomiyasu,jp JPN,DF,25.0,1.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,2.37,0.0,Arsenal,English Premier League
Reiss Nelson,eng ENG,FW,24.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,English Premier League
Emiliano Martínez,ar ARG,GK,31.0,37.0,37,3194.0,5.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.02,Aston-Villa,English Premier League
Morgan Rogers,eng ENG,"FW,MF",22.0,37.0,37,3114.0,10.0,0.0,8.0,10.0,18.0,6.6,7.8,14.4,0.23,0.29,0.52,0.19,0.23,Aston-Villa,English Premier League
Youri Tielemans,be BEL,MF,27.0,36.0,35,3026.0,4.0,0.0,3.0,7.0,10.0,3.3,7.0,9.5,0.09,0.21,0.3,0.1,0.21,Aston-Villa,English Premier League
Ezri Konsa,eng ENG,DF,26.0,34.0,33,2936.0,1.0,0.0,2.0,0.0,2.0,1.3,0.4,1.7,0.06,0.0,0.06,0.04,0.01,Aston-Villa,English Premier League
Ollie Watkins,eng ENG,FW,28.0,38.0,31,2598.0,2.0,0.0,16.0,8.0,24.0,15.3,3.3,17.1,0.55,0.28,0.83,0.53,0.12,Aston-Villa,English Premier League
Lucas Digne,fr FRA,DF,31.0,32.0,28,2351.0,4.0,0.0,0.0,4.0,4.0,0.8,4.7,5.5,0.0,0.15,0.15,0.03,0.18,Aston-Villa,English Premier League
John McGinn,sct SCO,"MF,FW",29.0,34.0,27,2223.0,7.0,0.0,1.0,4.0,5.0,3.1,3.5,6.3,0.04,0.16,0.2,0.13,0.14,Aston-Villa,English Premier League
Matty Cash,pl POL,DF,26.0,27.0,24,2070.0,7.0,0.0,1.0,1.0,2.0,0.5,1.1,1.6,0.04,0.04,0.09,0.02,0.05,Aston-Villa,English Premier League
Pau Torres,es ESP,DF,27.0,24.0,23,2020.0,2.0,0.0,0.0,0.0,0.0,0.5,0.1,0.6,0.0,0.0,0.0,0.02,0.01,Aston-Villa,English Premier League
Boubacar Kamara,fr FRA,MF,24.0,26.0,20,1726.0,2.0,0.0,1.0,0.0,1.0,0.8,0.9,1.7,0.05,0.0,0.05,0.04,0.05,Aston-Villa,English Premier League
Amadou Onana,be BEL,MF,22.0,26.0,20,1617.0,4.0,0.0,3.0,0.0,3.0,2.1,0.7,2.8,0.17,0.0,0.17,0.12,0.04,Aston-Villa,English Premier League
