,Player Name,Nation,Position,Age,Matches Played,Playing Time_Starts,Minutes Played,Goals,Assists,Goals+Assists,Non-Penalty Goals,Penalties Scored,Penalties Taken,Yellow Cards,Red Cards,xG,Non-Penalty xG (npxG),xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progrssive Passes Received,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,League_Previous_Season
0,David Raya,es ESP,GK,28.0,38.0,38,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,English Premier League
1,William Saliba,fr FRA,DF,23.0,35.0,35,3039.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.3,2.3,0.9,3.1,16.0,138.0,6.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,Arsenal,English Premier League
2,Declan Rice,eng ENG,MF,25.0,35.0,33,2825.0,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,3.5,3.5,6.6,10.1,90.0,192.0,94.0,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,Arsenal,English Premier League
3,Thomas Partey,gh GHA,"MF,DF",31.0,35.0,31,2797.0,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.3,2.3,2.1,4.3,36.0,185.0,48.0,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,Arsenal,English Premier League
4,Leandro Trossard,be BEL,FW,29.0,38.0,28,2546.0,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0,7.2,7.2,6.1,13.3,80.0,101.0,226.0,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,Arsenal,English Premier League
5,Gabriel Magalhães,br BRA,DF,26.0,28.0,28,2363.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,0.9,3.5,10.0,126.0,11.0,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,Arsenal,English Premier League
6,Jurriën Timber,nl NED,DF,23.0,30.0,27,2417.0,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,0.8,2.1,57.0,146.0,104.0,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Arsenal,English Premier League
7,Martin Ødegaard,no NOR,MF,25.0,30.0,26,2325.0,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0,4.8,4.0,5.4,9.5,92.0,258.0,154.0,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,Arsenal,English Premier League
8,Gabriel Martinelli,br BRA,"FW,MF",23.0,33.0,25,2290.0,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,7.4,7.4,5.0,12.4,124.0,52.0,289.0,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,Arsenal,English Premier League
9,Kai Havertz,de GER,"FW,MF",25.0,23.0,21,1875.0,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,9.5,9.5,2.4,12.0,35.0,61.0,113.0,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,Arsenal,English Premier League
10,Bukayo Saka,eng ENG,"FW,MF",22.0,25.0,20,1729.0,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,6.8,6.0,7.6,13.7,96.0,70.0,255.0,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,Arsenal,English Premier League
11,Mikel Merino,es ESP,"MF,FW",28.0,28.0,17,1586.0,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,5.9,5.9,2.0,7.9,11.0,69.0,94.0,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,Arsenal,English Premier League
12,Myles Lewis-Skelly,eng ENG,DF,17.0,23.0,15,1369.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.2,0.2,0.4,0.6,37.0,71.0,37.0,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,Arsenal,English Premier League
13,Ben White,eng ENG,DF,26.0,17.0,13,1198.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.4,1.8,23.0,59.0,42.0,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,Arsenal,English Premier League
14,Riccardo Calafiori,it ITA,DF,22.0,19.0,11,983.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.1,22.0,54.0,29.0,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,Arsenal,English Premier League
15,Ethan Nwaneri,eng ENG,"FW,MF",17.0,26.0,11,895.0,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.2,1.2,1.2,2.4,46.0,33.0,113.0,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,Arsenal,English Premier League
16,Jakub Kiwior,pl POL,DF,24.0,17.0,10,1122.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,5.0,48.0,1.0,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Arsenal,English Premier League
17,Jorginho,it ITA,MF,32.0,15.0,9,704.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.4,0.5,12.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Arsenal,English Premier League
18,Raheem Sterling,eng ENG,"FW,MF",29.0,17.0,7,499.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.5,1.9,27.0,18.0,79.0,0.0,0.36,0.36,0.0,0.36,0.26,0.09,0.34,0.26,0.34,Arsenal,English Premier League
